,avancealas,department_name,mesas_number,mesas_percentage,mesas_total,municipality_name,no_percentage,no_votes,resaltar,si_percentage,si_votes,url,votacion_percentage,votacion_personas_number,votacion_personas_total,votosnomarcados,votosnulos,votosvalidos
0,16:45:15,Amazonas,110.0,100.0,110.0,Todos,43.35,4994.0,8.0,56.64,6524.0,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,26.15,11714.0,44795.0,18,114,11518.0
1,16:45:15,Amazonas,2.0,100.0,2.0,El Encanto,23.07,51.0,2.0,76.92,170.0,http://plebiscito.registraduria.gov.co/99PL/DPL60010ZZZZZZZZZZZZ_L1.htm,30.01,223.0,743.0,,2,221.0
2,16:35:15,Amazonas,3.0,100.0,3.0,La Chorrera,17.12,62.0,3.0,82.87,300.0,http://plebiscito.registraduria.gov.co/99PL/DPL60013ZZZZZZZZZZZZ_L1.htm,35.53,366.0,1030.0,,3,362.0
3,16:25:15,Amazonas,3.0,100.0,3.0,La Pedrera,11.68,25.0,1.0,88.31,189.0,http://plebiscito.registraduria.gov.co/99PL/DPL60016ZZZZZZZZZZZZ_L1.htm,21.42,216.0,1008.0,,1,214.0
4,16:10:02,Amazonas,1.0,100.0,1.0,La Victoria,20.0,1.0,1.0,80.0,4.0,http://plebiscito.registraduria.gov.co/99PL/DPL60017ZZZZZZZZZZZZ_L1.htm,27.77,5.0,18.0,,0,5.0
5,16:45:15,Amazonas,82.0,100.0,82.0,Leticia,50.33,4463.0,7.0,49.66,4403.0,http://plebiscito.registraduria.gov.co/99PL/DPL60001ZZZZZZZZZZZZ_L1.htm,25.98,8990.0,34592.0,6,84,8866.0
6,16:30:15,Amazonas,2.0,100.0,2.0,Miriti Parana,7.29,7.0,2.0,92.7,89.0,http://plebiscito.registraduria.gov.co/99PL/DPL60019ZZZZZZZZZZZZ_L1.htm,20.12,96.0,477.0,,0,96.0
7,16:15:15,Amazonas,1.0,100.0,1.0,Puerto Alegria,8.77,5.0,1.0,91.22,52.0,http://plebiscito.registraduria.gov.co/99PL/DPL60030ZZZZZZZZZZZZ_L1.htm,22.77,59.0,259.0,,1,57.0
8,16:25:15,Amazonas,1.0,100.0,1.0,Puerto Arica,18.48,22.0,1.0,81.51,97.0,http://plebiscito.registraduria.gov.co/99PL/DPL60040ZZZZZZZZZZZZ_L1.htm,29.38,119.0,405.0,,0,119.0
9,16:45:15,Amazonas,10.0,100.0,10.0,Puerto Nariño,24.81,274.0,4.0,75.18,830.0,http://plebiscito.registraduria.gov.co/99PL/DPL60007ZZZZZZZZZZZZ_L1.htm,26.7,1153.0,4317.0,4,17,1104.0
10,16:25:15,Amazonas,2.0,100.0,2.0,Puerto Santander,11.34,16.0,2.0,88.65,125.0,http://plebiscito.registraduria.gov.co/99PL/DPL60021ZZZZZZZZZZZZ_L1.htm,22.27,143.0,642.0,,2,141.0
11,16:45:15,Amazonas,3.0,100.0,3.0,Tarapaca,20.42,68.0,2.0,79.57,265.0,http://plebiscito.registraduria.gov.co/99PL/DPL60022ZZZZZZZZZZZZ_L1.htm,26.38,344.0,1304.0,,4,333.0
12,18:25:15,Antioquia,10353.0,99.99,10354.0,Todos,62.0,1057518.0,33.0,37.99,648051.0,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,38.37,1742139.0,4539316.0,5.569,22.416,1705569.0
13,16:40:15,Antioquia,39.0,100.0,39.0,Abejorral,61.89,2105.0,6.0,38.1,1296.0,http://plebiscito.registraduria.gov.co/99PL/DPL01004ZZZZZZZZZZZZ_L1.htm,23.87,3647.0,15274.0,1,52,3401.0
14,16:45:15,Antioquia,6.0,100.0,6.0,Abriaqui,60.91,332.0,4.0,39.08,213.0,http://plebiscito.registraduria.gov.co/99PL/DPL01007ZZZZZZZZZZZZ_L1.htm,29.51,572.0,1938.0,,13,545.0
15,16:55:15,Antioquia,11.0,100.0,11.0,Alejandria,41.87,696.0,6.0,58.12,966.0,http://plebiscito.registraduria.gov.co/99PL/DPL01010ZZZZZZZZZZZZ_L1.htm,37.9,1735.0,4577.0,2,22,1662.0
16,17:25:15,Antioquia,53.0,100.0,53.0,Amaga,66.51,4139.0,8.0,33.48,2084.0,http://plebiscito.registraduria.gov.co/99PL/DPL01013ZZZZZZZZZZZZ_L1.htm,28.91,6370.0,22028.0,3,94,6223.0
