,avancealas,department_name,mesas_number,mesas_percentage,mesas_total,municipality_name,no_percentage,no_votes,resaltar,si_percentage,si_votes,url,votacion_percentage,votacion_personas_number,votacion_personas_total,votosnomarcados,votosnulos,votosvalidos,idps_avg19992014
0,16:45:15,Amazonas,2,100.0, 2,El Encanto,23.07,51.0,2.0,76.92,170.0,http://plebiscito.registraduria.gov.co/99PL/DPL60010ZZZZZZZZZZZZ_L1.htm,30.01,223.0,743.0,,2,221,5.42857142857
1,16:35:15,Amazonas,3,100.0, 3,La Chorrera,17.12,62.0,3.0,82.87,300.0,http://plebiscito.registraduria.gov.co/99PL/DPL60013ZZZZZZZZZZZZ_L1.htm,35.53,366.0,1030.0,,3,362,2.57142857143
2,16:25:15,Amazonas,3,100.0, 3,La Pedrera,11.68,25.0,1.0,88.31,189.0,http://plebiscito.registraduria.gov.co/99PL/DPL60016ZZZZZZZZZZZZ_L1.htm,21.42,216.0,1008.0,,1,214,3.14285714286
3,16:10:02,Amazonas,1,100.0, 1,La Victoria,20.0,1.0,1.0,80.0,4.0,http://plebiscito.registraduria.gov.co/99PL/DPL60017ZZZZZZZZZZZZ_L1.htm,27.77,5.0,18.0,,0,5,0.428571428571
4,16:10:02,Amazonas,1,100.0, 1,La Victoria,20.0,1.0,1.0,80.0,4.0,http://plebiscito.registraduria.gov.co/99PL/DPL60017ZZZZZZZZZZZZ_L1.htm,27.77,5.0,18.0,,0,5,16.375
5,16:10:02,Amazonas,1,100.0, 1,La Victoria,20.0,1.0,1.0,80.0,4.0,http://plebiscito.registraduria.gov.co/99PL/DPL60017ZZZZZZZZZZZZ_L1.htm,27.77,5.0,18.0,,0,5,0.428571428571
6,16:20:15,Boyaca,5,100.0, 5,La Victoria,24.59,136.0,3.0,75.4,417.0,http://plebiscito.registraduria.gov.co/99PL/DPL07137ZZZZZZZZZZZZ_L1.htm,37.87,573.0,1513.0,,9,553,0.428571428571
7,16:20:15,Boyaca,5,100.0, 5,La Victoria,24.59,136.0,3.0,75.4,417.0,http://plebiscito.registraduria.gov.co/99PL/DPL07137ZZZZZZZZZZZZ_L1.htm,37.87,573.0,1513.0,,9,553,16.375
8,16:20:15,Boyaca,5,100.0, 5,La Victoria,24.59,136.0,3.0,75.4,417.0,http://plebiscito.registraduria.gov.co/99PL/DPL07137ZZZZZZZZZZZZ_L1.htm,37.87,573.0,1513.0,,9,553,0.428571428571
9,16:50:15,Valle,30,100.0, 30,La Victoria,53.65,2234.0,9.0,46.34,1930.0,http://plebiscito.registraduria.gov.co/99PL/DPL31073ZZZZZZZZZZZZ_L1.htm,36.69,4260.0,11609.0,4,55,4.164,0.428571428571
10,16:50:15,Valle,30,100.0, 30,La Victoria,53.65,2234.0,9.0,46.34,1930.0,http://plebiscito.registraduria.gov.co/99PL/DPL31073ZZZZZZZZZZZZ_L1.htm,36.69,4260.0,11609.0,4,55,4.164,16.375
11,16:50:15,Valle,30,100.0, 30,La Victoria,53.65,2234.0,9.0,46.34,1930.0,http://plebiscito.registraduria.gov.co/99PL/DPL31073ZZZZZZZZZZZZ_L1.htm,36.69,4260.0,11609.0,4,55,4.164,0.428571428571
12,16:45:15,Amazonas,82,100.0, 82,Leticia,50.33,4463.0,7.0,49.66,4403.0,http://plebiscito.registraduria.gov.co/99PL/DPL60001ZZZZZZZZZZZZ_L1.htm,25.98,8990.0,34592.0,6,84,8.866,58.8125
13,16:30:15,Amazonas,2,100.0, 2,Miriti Parana,7.29,7.0,2.0,92.7,89.0,http://plebiscito.registraduria.gov.co/99PL/DPL60019ZZZZZZZZZZZZ_L1.htm,20.12,96.0,477.0,,0,96,2.07142857143
14,16:15:15,Amazonas,1,100.0, 1,Puerto Alegria,8.77,5.0,1.0,91.22,52.0,http://plebiscito.registraduria.gov.co/99PL/DPL60030ZZZZZZZZZZZZ_L1.htm,22.77,59.0,259.0,,1,57,2.69230769231
15,16:25:15,Amazonas,1,100.0, 1,Puerto Arica,18.48,22.0,1.0,81.51,97.0,http://plebiscito.registraduria.gov.co/99PL/DPL60040ZZZZZZZZZZZZ_L1.htm,29.38,119.0,405.0,,0,119,1.71428571429
16,16:45:15,Amazonas,10,100.0, 10,Puerto Nariño,24.81,274.0,4.0,75.18,830.0,http://plebiscito.registraduria.gov.co/99PL/DPL60007ZZZZZZZZZZZZ_L1.htm,26.7,1153.0,4317.0,4,17,1.104,166.333333333
17,16:45:15,Amazonas,10,100.0, 10,Puerto Nariño,24.81,274.0,4.0,75.18,830.0,http://plebiscito.registraduria.gov.co/99PL/DPL60007ZZZZZZZZZZZZ_L1.htm,26.7,1153.0,4317.0,4,17,1.104,1.28571428571
18,16:25:15,Amazonas,2,100.0, 2,Puerto Santander,11.34,16.0,2.0,88.65,125.0,http://plebiscito.registraduria.gov.co/99PL/DPL60021ZZZZZZZZZZZZ_L1.htm,22.27,143.0,642.0,,2,141,52.5
19,16:25:15,Amazonas,2,100.0, 2,Puerto Santander,11.34,16.0,2.0,88.65,125.0,http://plebiscito.registraduria.gov.co/99PL/DPL60021ZZZZZZZZZZZZ_L1.htm,22.27,143.0,642.0,,2,141,6.21428571429
20,16:35:15,Norte De San,30,100.0, 30,Puerto Santander,73.11,1607.0,5.0,26.88,591.0,http://plebiscito.registraduria.gov.co/99PL/DPL25069ZZZZZZZZZZZZ_L1.htm,17.04,2236.0,13119.0,8,28,2.198,52.5
21,16:35:15,Norte De San,30,100.0, 30,Puerto Santander,73.11,1607.0,5.0,26.88,591.0,http://plebiscito.registraduria.gov.co/99PL/DPL25069ZZZZZZZZZZZZ_L1.htm,17.04,2236.0,13119.0,8,28,2.198,6.21428571429
22,16:45:15,Amazonas,3,100.0, 3,Tarapaca,20.42,68.0,2.0,79.57,265.0,http://plebiscito.registraduria.gov.co/99PL/DPL60022ZZZZZZZZZZZZ_L1.htm,26.38,344.0,1304.0,,4,333,1.71428571429
23,16:40:15,Antioquia,39,100.0, 39,Abejorral,61.89,2105.0,6.0,38.1,1296.0,http://plebiscito.registraduria.gov.co/99PL/DPL01004ZZZZZZZZZZZZ_L1.htm,23.87,3647.0,15274.0,1,52,3.401,38.25
24,16:45:15,Antioquia,6,100.0, 6,Abriaqui,60.91,332.0,4.0,39.08,213.0,http://plebiscito.registraduria.gov.co/99PL/DPL01007ZZZZZZZZZZZZ_L1.htm,29.51,572.0,1938.0,,13,545,1.86666666667
25,16:55:15,Antioquia,11,100.0, 11,Alejandria,41.87,696.0,6.0,58.12,966.0,http://plebiscito.registraduria.gov.co/99PL/DPL01010ZZZZZZZZZZZZ_L1.htm,37.9,1735.0,4577.0,2,22,1.662,68.0714285714
26,17:25:15,Antioquia,53,100.0, 53,Amaga,66.51,4139.0,8.0,33.48,2084.0,http://plebiscito.registraduria.gov.co/99PL/DPL01013ZZZZZZZZZZZZ_L1.htm,28.91,6370.0,22028.0,3,94,6.223,28.75
27,16:55:15,Antioquia,40,100.0, 40,Amalfi,63.75,2304.0,7.0,36.24,1310.0,http://plebiscito.registraduria.gov.co/99PL/DPL01016ZZZZZZZZZZZZ_L1.htm,22.55,3818.0,16928.0,4,72,3.614,432.25
28,17:00:15,Antioquia,76,100.0, 76,Andes,64.21,5729.0,10.0,35.78,3193.0,http://plebiscito.registraduria.gov.co/99PL/DPL01019ZZZZZZZZZZZZ_L1.htm,26.09,9093.0,34842.0,2,93,8.922,51.2
29,17:00:15,Antioquia,76,100.0, 76,Andes,64.21,5729.0,10.0,35.78,3193.0,http://plebiscito.registraduria.gov.co/99PL/DPL01019ZZZZZZZZZZZZ_L1.htm,26.09,9093.0,34842.0,2,93,8.922,307.25
